Annotator A ID,Annotator B ID,Parition ID,Corpora ID,Sentence ID,Text,Annotator A Text,Annotator B Text,Length,Error,Alignment Score,Agreement
6,4,1,2,2771,I'm trying to reserve and it's not letting me move to the next screen,I'm trying to reserve and it's not letting me move to the next screen,I'm trying to reserve and it's not letting me move to the next screen,69,0,1,1
6,4,1,2,2772,"I bought a e ticket but sent it to the wrong email, whst csn I do?","I bought a e ticket but sent it to the wrong email, [whst csn I do?]","I bought a e ticket but sent it to the wrong email, whst csn I do?",66,14,0.7878787879,0
6,4,1,2,2773,I want to follow up on a job that I applied for last week. Who in Human Resources due I contact?,I want to follow up on a job that I applied for last week. [Who in Human Resources due I contact?],I want to follow up on a job that I applied for last week. Who in Human Resources due I contact?,96,37,0.6145833333,0
6,4,1,2,2774,is it possible to get information about past cname- travel? I need to know all trips I took in 2014 and 2015. thank you,is it possible to get information about past cname- travel? [I need to know all trips I took in 2014 and 2015. thank you],is it possible to get information about past cname- travel? [I need to know all trips I took in 2014 and 2015. thank you],119,0,1,1
6,4,1,2,2775,"I booked a ticket, but I can't find it in my e-mail to print it.","I booked a ticket, but I can't find it in my e-mail to print it.","I booked a ticket, but I can't find it in my e-mail to print it.",64,0,1,1
6,4,1,2,2776,Hi. Yesterday afternoon I reserved a seat for 11/25 train ##### Washington to Trenton -- but I didn't receive email conformation.,Hi. Yesterday afternoon I reserved a seat for 11/25 train ##### Washington to Trenton -- but I didn't receive email conformation.,[Hi. Yesterday afternoon ]I reserved a seat for 11/25 train ##### Washington to Trenton -- but I didn't receive email conformation.,129,24,0.8139534884,0
6,4,1,2,2777,I just what to how much it will cost . To go from Portland Oregon to Seattle qwa for 2,I just what to how much it will cost . To go from Portland Oregon to Seattle qwa for 2,I just what to how much it will cost . To go from Portland Oregon to Seattle qwa for 2,86,0,1,1
6,4,1,2,2778,we need a brochure from starting point in florida and ending up in florida,we need a brochure from starting point in florida and ending up in florida,we need a brochure from starting point in florida and ending up in florida,74,0,1,1
6,4,1,2,2780,"Hi ----- i have a ticket to travel from Phila to Washington today i want to change my ticket , is it possible?","[Hi ----- i have a ticket to travel from Phila to Washington today] i want to change my ticket [, is it possible?]","[Hi ----- ]i have a ticket to travel from Phila to Washington today i want to change my ticket , is it possible?",110,73,0.3363636364,1
6,4,1,2,2781,"Problem Finding Service: Sorry, we cannot find service matching the departure and arrival stations/cities you provided. Please modify either or both stations/cities and resubmit, or, for additional as","Problem Finding Service: Sorry, we cannot find service matching the departure and arrival stations/cities you provided. Please modify either or both stations/cities and resubmit, or, for additional as","[Problem Finding Service: Sorry, we cannot find service matching the departure and arrival stations/cities you provided. Please modify either or both stations/cities and resubmit, or, for additional as]",200,200,0,0
6,4,1,2,2782,"About the $95 fare, what is the total for 2 people and their car for this deal?","About the $95 fare, what is the total for 2 people and their car for this deal?","About the $95 fare, what is the total for 2 people and their car for this deal?",79,0,1,1
6,4,1,2,2783,a trip in November on 10/19 for trip I believe 11/24 and 11/28 but am having problem recovering my email confirmation. I do not have any info re confirmation no. but I know they were paid for. How can,[a trip in November on 10/19 for trip I believe 11/24 and 11/28 but ]am having problem recovering my email confirmation.[ I do not have any info re confirmation no. but I know they were paid for. How can],[a trip in November on 10/19 ]for trip I believe 11/24 and 11/28 but am having problem recovering my email confirmation. I do not have any info re confirmation no.[ but I know they were paid for. How can],200,81,0.595,1
6,4,1,2,2784,"Not seeing $95 fare showing - do you know what dates are left from Tampa, FL to Alexandria, VA?","[Not seeing $95 fare showing - do you know ]what dates are left from Tampa, FL to Alexandria, VA?","Not seeing $95 fare showing - do you know what dates are left from Tampa, FL to Alexandria, VA?",95,42,0.5578947368,0
6,4,1,2,2785,"traveling from Fort Myers Florida to Fort Paine Alabama, which station are close?","traveling from Fort Myers Florida to Fort Paine Alabama, which station are close?","traveling from Fort Myers Florida to Fort Paine Alabama, which station are close?",81,0,1,1
6,4,1,2,2787,"If I take your bus/train option, does the train wait if the bus is delayed? I am considering the route from Salinas to LAX..","If I take your bus/train option, does the train wait if the bus is delayed? [I am considering the route from Salinas to LAX..]","If I take your bus/train option, does the train wait if the bus is delayed?[ I am considering the route from Salinas to LAX..]",124,0,1,1
6,4,1,2,2788,"i'm confused about saver fares. I am a senior and an AAA member. I want to go from San Jose, Ca to San Luis Obispo, CA on Dec. 16 and return on Dec. 19. What do I select to get the lowest fare.","i'm confused about saver fares. [I am a senior and an AAA member. I want to go from San Jose, Ca to San Luis Obispo, CA on Dec. 16 and return on Dec. 19. What do I select to get the lowest fare.]","[i'm confused about saver fares. ]I am a senior and an AAA member. I want to go from San Jose, Ca to San Luis Obispo, CA on Dec. 16 and return on Dec. 19. What do I select to get the lowest fare.",193,191,0.0103626943,1
6,4,1,2,2789,"What is the best way to go from Albany,NY to Burlington, VT without going to NYP?","What is the best way to go from Albany,NY to Burlington, VT without going to NYP?","What is the best way to go from Albany,NY to Burlington, VT without going to NYP?",81,0,1,1
6,4,1,2,2790,I got an email regarding $95 fares on the autotrain. Where is it on your website?,I got an email regarding $95 fares on the autotrain. [Where is it on your website?],I got an email regarding $95 fares on the autotrain. Where is it on your website?,81,28,0.6543209877,0
6,4,1,2,2792,how long does it take to receive your money back on a cancellation,how long does it take to receive your money back on a cancellation,how long does it take to receive your money back on a cancellation,66,0,1,1
6,4,1,2,2793,Hi -----. I am attempting to change the email address connected to my cname- account. It will not allow me to save this information in my profile. Please assist and thank you!,[Hi -----. ]I am attempting to change the email address connected to my cname- account.[ It will not allow me to save this information in my profile. Please assist and thank you!],[Hi -----. ]I am attempting to change the email address connected to my cname- account. It will not allow me to save this information in my profile.[ Please assist and thank you!],175,60,0.6571428571,1
6,4,1,2,2794,can you help me find a train going from Appleton WI to Illinois,can you help me find a train going from Appleton WI to Illinois,[can you help me ]find a train going from Appleton WI to Illinois,63,16,0.746031746,0
6,4,1,2,2797,i am tryin to reserve a seat on the train but I want to pay when i pick up my ticket,i am tryin to reserve a seat on the train but I want to pay when i pick up my ticket,i am tryin to reserve a seat on the train but I want to pay when i pick up my ticket,84,0,1,1
6,4,1,2,2798,"to get into my account, I insert my email address and password, but can't log on. I receive email from you at this email, but you won't let me log in","[to get into my account, I insert my email address and password, but can't log on. ]I receive email from you at this email, but you won't let me log in","to get into my account, I insert my email address and password, but can't log on. [I receive email from you at this email, but you won't let me log in]",149,147,0.0134228188,1
6,4,1,2,2799,What is the price for two seniors going from Boston to Manassas?,What is the price for two seniors going from Boston to Manassas?,What is the price for two seniors going from Boston to Manassas?,64,0,1,1
6,4,1,2,2800,"IF I AM PURCHASING A TICKET FOR A FAMILY MEMBER, AM I ABLE TO USE MY AAA DISCOUNT?","IF I AM PURCHASING A TICKET FOR A FAMILY MEMBER, AM I ABLE TO USE MY AAA DISCOUNT?","IF I AM PURCHASING A TICKET FOR A FAMILY MEMBER, AM I ABLE TO USE MY AAA DISCOUNT?",82,0,1,1
6,4,1,2,2801,"I am going to be traveling back and forth from fresno ca, to stockton ca, once a week starting on November 13th and ending the beginning of February. Theres a multi ride package but it didn't have eno","I am going to be traveling back and forth from fresno ca, to stockton ca, once a week starting on November 13th and ending the beginning of February. [Theres a multi ride package but it didn't have en]o","[I am going to be traveling back and forth from fresno ca, to stockton ca, once a week starting on November 13th and ending the beginning of February. Theres a multi ride package but it didn't have eno]",200,149,0.255,1
6,4,1,2,2802,Hi -----. I'm trying to determine the best route to get from Clifton forge va to Raleigh or Durham. Traveling not 22 to nov 28. It's for my 14 year old brother. I would prefer if there was some way tl,[Hi -----. ]I'm trying to determine the best route to get from Clifton forge va to Raleigh or Durham. Traveling not 22 to nov 28.[ It's for my 14 year old brother. I would prefer if there was some way tl],[Hi -----. ]I'm trying to determine the best route to get from Clifton forge va to Raleigh or Durham. Traveling not 22 to nov 28. [It's for my 14 year old brother. I would prefer if there was some way tl],200,0,1,1
6,4,1,2,2804,How do I purchase a ticket when getting on at Cherry Hill NJ station? There is no ticket office.,How do I purchase a ticket when getting on at Cherry Hill NJ station? [There is no ticket office.],How do I purchase a ticket when getting on at Cherry Hill NJ station? There is no ticket office.,96,26,0.7291666667,0
6,4,1,2,2805,"if no checked baggage is the situation, where can I stow my skis and bags while on board the zephyr?","[if no checked baggage is the situation, ]where can I stow my skis and bags while on board the zephyr?","if no checked baggage is the situation, where can I stow my skis and bags while on board the zephyr?",100,40,0.6,0
6,4,1,2,2807,"Good morning -----, I would like to know if cname- goes to Washington DC","[Good morning -----, ]I would like to know if cname- goes to Washington DC","[Good morning -----,] I would like to know if cname- goes to Washington DC",72,0,1,1
6,4,1,2,2808,I am trying to buy tickets on line but it seems that your website is down. Is that correct?,I am trying to buy tickets on line but it seems that your website is down. [Is that correct?],I am trying to buy tickets on line but it seems that your website is down. Is that correct?,91,16,0.8241758242,0
6,4,1,2,2809,Hi -----. Is it possible to take a train from rhode island to portland maine without changing trains?,Hi -----. Is it possible to take a train from rhode island to portland maine without changing trains?,[Hi -----. ]Is it possible to take a train from rhode island to portland maine without changing trains?,101,10,0.900990099,0
6,4,1,2,2810,i have a emotional service dog at 16 lbs do you allow them on the train,i have a emotional service dog at 16 lbs [do you allow them on the train],i have a [emotional service ]dog at 16 lbs do you allow them on the train,71,48,0.323943662,1
6,4,1,2,2811,i booked a passager on the autotrain for december 3 and now i saw where there is a $95.00 saver fare. is it possible dfor me to get this?,[i booked a passager on the autotrain for december 3 and now i saw where ]there is a $95.00 saver fare. is it possible dfor me to get this?,i booked a passager on the autotrain for december 3 and now i saw where there is a $95.00 saver fare. is it possible dfor me to get this?,137,72,0.4744525547,0
6,4,1,2,2812,"Hi. If I need to cancel a booked reservation, is that reservation transferable?","Hi. If I need to cancel a booked reservation, is that reservation transferable?","[Hi. ]If I need to cancel a booked reservation, is that reservation transferable?",79,4,0.9493670886,0
6,4,1,2,2813,"I booked travel but did not enter my account number, what do I do?","I booked travel but did not enter my account number[, what do I do?]","I booked travel but did not enter my account number, what do I do?",66,15,0.7727272727,0
6,4,1,2,2815,I am looking for information on a round trip train from Seattle to Vancouver BC,I am looking for information on a round trip train from Seattle to Vancouver BC,I am looking for information on a round trip train from Seattle to Vancouver BC,79,0,1,1
6,4,1,2,2817,"Want to know why cname- is charging my Visa, when I could not purchase a ticket?! I tried 2 times because it would not accept the zip codes, but yet my account was charged.","Want to know why cname- is charging my Visa, when I could not purchase a ticket?![ I tried 2 times because it would not accept the zip codes, but yet my account was charged.]","Want to know why cname- is charging my Visa, when I could not purchase a ticket?! I tried 2 times because it would not accept the zip codes, but yet my account was charged.",172,91,0.4709302326,0
6,4,1,2,2818,"Hello...I just purchased train tickets but got logged out suddenly when I clicked on ""Buy Tickets""...did my sale go through??","[Hello...]I just purchased train tickets but got logged out suddenly when I clicked on ""Buy Tickets""[...did my sale go through??]","[Hello...]I just purchased train tickets but got logged out suddenly when I clicked on ""Buy Tickets""...did my sale go through??",125,27,0.784,1
6,4,1,2,2819,as a cname- employee can i get a ticket over the phone im trying to get my wife from raleigh nc to wilm de on nov 14,as a cname- employee can i get a ticket over the phone [im trying to get my wife from raleigh nc to wilm de on nov 14],as a cname- employee can i get a ticket over the phone im trying to get my wife from raleigh nc to wilm de on nov 14,116,61,0.474137931,0
6,4,1,2,2820,"I'm here from New York , I was wondering what is the faster way to go to Pennsylvania","I'm here from New York , I was wondering what is the faster way to go to Pennsylvania","[I'm here ]from New York[ , I was wondering ]what is the faster way to go to Pennsylvania",85,28,0.6705882353,0
6,4,1,2,2821,"I would like information on booking for a group of 40-50 employees from Maryland to New York on December 05, 2015","I would like information on booking for a group of 40-50 employees from Maryland to New York on December 05, 2015","I would like information on booking for a group of 40-50 employees from Maryland to New York on December 05, 2015",113,0,1,1
6,4,1,2,2822,Hi - I'm trying to figure out if I can take an Acela express train from BWI to MetroPark NJ,[Hi - I'm trying to figure out] if I can take an Acela express train from BWI to MetroPark NJ,[Hi - ]I'm trying to figure out if I can take an Acela express train from BWI to MetroPark NJ,91,24,0.7362637363,1
6,4,1,2,2823,"trying to book a trip from Pontiac, Il to Texarkana, TX . one way, departing Friday, November 6. Keeps coming back with the 12th. Is that the soonest I can get?","trying to book a trip from Pontiac, Il to Texarkana, TX . one way, departing Friday, November 6. [Keeps coming back with the 12th. Is that the soonest I can get?]","trying to book a trip from Pontiac, Il to Texarkana, TX . one way, departing Friday, November 6. Keeps coming back with the 12th. Is that the soonest I can get?",160,63,0.60625,0
6,4,1,2,2824,hi why why is it that I am unable to input a departing dare,hi why why is it that I am unable to input a departing dare,[hi why ]why is it that I am unable to input a departing dare,59,7,0.8813559322,0
6,4,1,2,2826,I need to get receipts for trips that I have taken this year.,I need to get receipts for trips that I have taken this year.,I need to get receipts for trips that I have taken this year.,61,0,1,1
6,4,1,2,2827,"I'm looking for a train from Los Angeles, CA to Las Vegas, NV","I'm looking for a train from Los Angeles, CA to Las Vegas, NV","I'm looking for a train from Los Angeles, CA to Las Vegas, NV",61,0,1,1
6,4,1,2,2828,If I miss the train at 7:15 can I still use my ticket for the 8:23 train?,If I miss the train at 7:15 can I still use my ticket for the 8:23 train?,If I miss the train at 7:15 can I still use my ticket for the 8:23 train?,73,0,1,1
6,4,1,2,2829,"Hi -----, I'm looking for a train out of Chatsworth on Tuesday the 10th","[Hi -----, ]I'm looking for a train out of Chatsworth on Tuesday the 10th","[Hi -----, ]I'm looking for a train out of Chatsworth on Tuesday the 10th",71,0,1,1
6,4,1,2,2830,can you tell me about taking cname- to see glacier national park?,can you tell me about taking cname- to see glacier national park?,can you tell me about taking cname- to see glacier national park?,65,0,1,1
6,4,1,2,2831,I want to purchase a round trip ticket from Penn station NYC to Baltimore bwi leaving nyc this Friday at 12:30 and leaving BWI this Saturday at around 6:30. am unable to do through website,I want to purchase a round trip ticket from Penn station NYC to Baltimore bwi leaving nyc this Friday at 12:30 and leaving BWI this Saturday at around 6:30. [am unable to do through website],I want to purchase a round trip ticket from Penn station NYC to Baltimore bwi leaving nyc this Friday at 12:30 and leaving BWI this Saturday at around 6:30. am unable to do through website,188,31,0.835106383,0
6,4,1,2,2832,why is there no baggagae check from Chico to San Jose Train? I have a college student with 1 suitcase (bigger than dimentions for carry on),why is there no baggagae check from Chico to San Jose Train? [I have a college student with 1 suitcase (bigger than dimentions for carry on)],why is there no baggagae check from Chico to San Jose Train? I have [a college ]student with 1 suitcase (bigger than dimentions for carry on),139,67,0.5179856115,1
6,4,1,2,2833,Hi...I am having problems cancelling a reservation. problem with CC expiration date.,[Hi...]I am having problems cancelling a reservation. problem with CC expiration date.,Hi...I am having problems cancelling a reservation. problem with CC expiration date.,84,5,0.9404761905,0
6,4,1,2,2834,I am wanting to book the California ZephyrTrain for next September could you tell me when that would go on sale?,I am wanting to book the California ZephyrTrain for next September[ could you tell me when that would go on sale?],I am wanting to book the California ZephyrTrain for next September could you tell me when that would go on sale?,112,46,0.5892857143,0
6,4,1,2,2835,if i have to cancel my trip will I get my money back,if i have to cancel my trip will I get my money back,if i have to cancel my trip will I get my money back,52,0,1,1
6,4,1,2,2836,"Hi, I bought two tickets and did not print them out?! We arrive Thursday","[Hi, ]I bought two tickets and did not print them out?! [We arrive Thursday]","[Hi, ]I bought two tickets and did not print them out?! [We arrive Thursday]",72,0,1,1
6,4,1,2,2837,Hi -----. I am not sure of my travel dates as yet but I will be traveling for a surgical procedure. Are there any special discounts for this kind of travel?,[Hi -----. I am not sure of my travel dates as yet but ]I will be traveling for a surgical procedure.[ Are there any special discounts for this kind of travel?],[Hi -----. I am not sure of my travel dates as yet but ]I will be traveling for a surgical procedure. Are there any special discounts for this kind of travel?,156,57,0.6346153846,1
6,4,1,2,2838,I want to check out and purchase my selected tickets. I can't see my cart.,[I want to check out and purchase my selected tickets. ]I can't see my cart.,I want to check out and purchase my selected tickets. I can't see my cart.,74,54,0.2702702703,0
6,4,1,2,2839,"I didn't purchase my ticket with insurance; however, I need to leave another day.","[I didn't purchase my ticket with insurance; however,] I need to leave another day.","[I didn't purchase my ticket with insurance; ]however, I need to leave another day.",81,8,0.9012345679,1
6,4,1,2,2840,"-----, is it possible to pay on cname-.com with an Amex gift card?","[-----, ]is it possible to pay on cname-.com with an Amex gift card?","[-----, ]is it possible to pay on cname-.com with an Amex gift card?",66,0,1,1
6,4,1,2,2841,I was trying to book my ticket so I don't know if my payment went through,I was trying to book my ticket so I don't know if my payment went through,I was trying to book my ticket so I don't know if my payment went through,73,0,1,1
6,4,1,2,2842,"Hi -----, I don't remember my cname- rewards #. How can I get it?","[Hi -----, ]I don't remember my cname- rewards #. [How can I get it?]","Hi -----, I don't remember my cname- rewards #. How can I get it?",65,27,0.5846153846,0
6,4,1,2,2843,can i get a ticket on train 7 from chicago to milwaukee,can i get a ticket on train 7 from chicago to milwaukee,can i get a ticket on train 7 from chicago to milwaukee,55,0,1,1
6,4,1,2,2844,I have a reservation for tomorrow (Nov. 4) on the auto train and would like to change it to Thursday (Nov. 5). Can you assist me with this?,I have a reservation for tomorrow (Nov. 4) on the auto train and would like to change it to Thursday (Nov. 5). [Can you assist me with this?],I have a reservation for tomorrow (Nov. 4) on the auto train and would like to change it to Thursday (Nov. 5). Can you assist me with this?,139,28,0.7985611511,0
6,4,1,2,2845,I keep getting error 503s when trying to modify my train time. How do i fix that?,I keep getting error 503s when trying to modify my train time.[ How do i fix that?],I keep getting error 503s when trying to modify my train time. How do i fix that?,81,19,0.7654320988,0
6,4,1,2,2846,I will arrive to washington DC Dulles airport at 6:35pm and will take the train to Philedelphia at 8:00 pm I wonder howlong does it take to go cname- staion from airport,[I will arrive to washington DC Dulles airport at 6:35pm and will take the train to Philedelphia at 8:00 pm I wonder ]howlong does it take to go cname- staion from airport,I will arrive to washington DC Dulles airport at 6:35pm and will take the train to Philedelphia at 8:00 pm [I wonder ]howlong does it take to go cname- staion from airport,169,106,0.3727810651,1
6,4,1,2,2847,I have been billed for a trip on 11/19 and 11/20. Can you tell me why I was charged? Usually I do not pay until I go to the counter to pick up my ticket on the date of my trip. ------,[I have been billed for a trip on 11/19 and 11/20.] Can you tell me why I was charged?[ Usually I do not pay until I go to the counter to pick up my ticket on the date of my trip. ------],I have been billed for a trip on 11/19 and 11/20. Can you tell me why I was charged? Usually I do not pay until I go to the counter to pick up my ticket on the date of my trip.[ ------],183,141,0.2295081967,1
6,4,1,2,2848,Is it possible to purchase tickets at a station with a personal check?,Is it possible to purchase tickets at a station with a personal check?,Is it possible to purchase tickets at a station with a personal check?,70,0,1,1
6,4,1,2,2849,"Hello, we are a travel agency in Berlin, Germany, specialized on rail travel worldwide. Once, we had a log in as cname- sales agency, but it seems no more to be active. What can we do? Peter","Hello, we are a travel agency in Berlin, Germany, specialized on rail travel worldwide. Once, we had a log in as cname- sales agency, but it seems no more to be active. What can we do? Peter","[Hello, ]we are a travel agency in Berlin, Germany, specialized on rail travel worldwide. Once, we had a log in as cname- sales agency, but it seems no more to be active. What can we do? [Peter]",190,12,0.9368421053,0
6,4,1,2,2850,Looking for tour of western national parks in north enroute to chicago,Looking for tour of western national parks in north enroute to chicago,Looking for tour of western national parks in north enroute to chicago,70,0,1,1
6,4,1,2,2851,I am trying to get a copy of the ticket for a trip tomorrow,I am trying to get a copy of the ticket for a trip tomorrow,I am trying to get a copy of the ticket for a trip tomorrow,59,0,1,1
6,4,1,2,2852,What trains are the open ended tickets not able to be used on,What trains are the open ended tickets not able to be used on,What trains are the open ended tickets not able to be used on,61,0,1,1
6,4,1,2,2853,trying to find best route from Longview Texas to nearest point Rochester MN,trying to find best route from Longview Texas to nearest point Rochester MN,trying to find best route from Longview Texas to nearest point Rochester MN,75,0,1,1
6,4,1,2,2854,I need help finding the price for a round trip tiket for a train from buffalo ny exchange street to charleston wv leaving nov 6th returning nov 11th no specific time bu preferably departing both times,[I need help finding the price for a ]round trip tiket for a train from buffalo ny exchange street to charleston wv leaving nov 6th returning nov 11th[ no specific time bu preferably departing both times],I need help finding the price for a round trip tiket for a train from buffalo ny exchange street to charleston wv leaving nov 6th returning nov 11th [no specific time bu preferably departing both times],200,36,0.82,1
6,4,1,2,2855,"What do i need to do to use the daytime parking at the jack london square, Oakland station?","[What do i need to do to ]use the daytime parking at the jack london square, Oakland station?","What do i need to do to use the daytime parking at the jack london square, Oakland station?",91,24,0.7362637363,0
6,4,1,2,2856,There is currently a $95 promo for the auto train How do I apply this to my reservation,There is currently a $95 promo for the auto train [How do I apply this to my reservation],There is currently a $95 promo for the auto train How do I apply this to my reservation,87,37,0.5747126437,0
6,4,1,2,2857,Can I purchase a ticket for a friend for him to pick up at the train station?,Can I purchase a ticket for a friend for him to pick up at the train station?,Can I purchase a ticket for a friend for him to pick up at the train station?,77,0,1,1
6,4,1,2,2858,Hi I would like to add my cname- Guest Reward number to my trip,Hi I would like to add my cname- Guest Reward number to my trip,[Hi] I would like to add my cname- Guest Reward number to my trip,63,2,0.9682539683,0
6,4,1,2,2859,"I enrolled in cname- Guest Rewards last night, but my password did not work, yet, my email address was already in the system--What happened??","I enrolled in cname- Guest Rewards last night, but my password did not work[, yet, my email address was already in the system--What happened??]","I enrolled in cname- Guest Rewards last night, but my password did not work, yet, my email address was already in the system--What happened??",141,66,0.5319148936,0
6,4,1,2,2860,"Hi -----, I booked a trip this morning, that I need to change (if possible) and I'm not sure how to do it","[Hi -----,] I booked a trip this morning, that I need to change (if possible)[ and I'm not sure how to do it]","[Hi -----, ]I booked a trip this morning, that I need to change (if possible) and I'm not sure how to do it",105,30,0.7142857143,1
6,4,1,2,2862,"Hello I am trying to cancel my cname- ticket, but there is consistently a system issue. Is there someone I can call?","[Hello I am trying to cancel my cname- ticket, but there is consistently a system issue.] Is there someone I can call?","[Hello ]I am trying to cancel my cname- ticket, but there is consistently a system issue. Is there someone I can call?",116,81,0.3017241379,1
6,4,1,2,2863,Hi I wanted to check the train number for 11 Coast Straight from SJC to SBA,Hi I wanted to check the train number for 11 Coast Straight from SJC to SBA,[Hi ]I wanted to check the train number for 11 Coast Straight from SJC to SBA,75,3,0.96,0
6,4,1,2,2864,I have an unused ticket from September 2015. Can I use it on a trip next week?,I have an unused ticket from September 2015. Can I use it on a trip next week?,I have an unused ticket from September 2015. Can I use it on a trip next week?,78,0,1,1
6,4,1,2,2865,"Hi, I would like to take the cname- train from Grand Rapids to Spokane so I could arrive there on Aug. 6-8. I would like to take one of the trains with the park ranger on board. Can you help?","Hi, I would like to take the cname- train from Grand Rapids to Spokane so I could arrive there on Aug. 6-8. [I would like to take one of the trains with the park ranger on board. Can you help?]","[Hi, ]I would like to take the cname- train from Grand Rapids to Spokane so I could arrive there on Aug. 6-8. I would like to take one of the trains with the park ranger on board. [Can you help?]",191,72,0.6230366492,1
6,4,1,2,2866,can i purchase ticket at train station in pittsburgh for trip to johnstown,can i purchase ticket at train station in pittsburgh for trip to johnstown,can i purchase ticket at train station in pittsburgh for trip to johnstown,74,0,1,1
6,4,1,2,2867,"if a train arrives in WAS from DNC at 4:29pm, why can't I take the 5:25pm train from WAS to NLC","if a train arrives in WAS from DNC at 4:29pm, why can't I take the 5:25pm train from WAS to NLC","if a train arrives in WAS from DNC at 4:29pm, why can't I take the 5:25pm train from WAS to NLC",95,0,1,1
6,4,1,2,2868,need a car and 2 people from or near syr. to seabring fl anytime in jan.,need a car and 2 people from or near syr. to seabring fl anytime in jan.,need a car and 2 people from or near syr. to seabring fl anytime in jan.,72,0,1,1
